id,category,subcategory,name_en,name_ar,engine,template,standards,work_contexts,practice_tags,yates_section,yates_pages,yates_support
HL-ELEC-001,ELEC,arc,Arc Flash / Arc Blast,القوس الكهربائي / انفجار القوس,worker-scene,electrical-panel-worker,1910.333; 1910.335; 1926.416,maintenance; manufacturing; utilities; construction,electrical; arc-flash; arc-blast,Electrical Safety — Arc Blasts; NFPA terminology/work practices,437–450,direct
HL-ELEC-002,ELEC,shock_contact,Electrical Shock / Electrocution,الصدمة الكهربائية / الصعق الكهربائي,worker-scene,electrical-contact-worker,1910.333; 1910.335; 1926.416,maintenance; construction; manufacturing; utilities,electrical; shock; electrocution,Electrical Safety — Effects of Current; Controlling Electrical Hazards,437–443,direct
HL-ELEC-003,ELEC,shock_contact,Electrical Burns,الحروق الكهربائية,worker-scene,electrical-contact-worker,1910.333; 1910.335; 1926.416,maintenance; construction; manufacturing,electrical; burns; arc-burn,Electrical Safety — Burns Caused by Electricity,438,direct
HL-ELEC-004,ELEC,exposed_parts,Exposed Energized Parts,أجزاء كهربائية مكهربة مكشوفة,worker-scene,electrical-panel-worker,1910.303; 1910.333; 1926.416,maintenance; manufacturing; construction; facilities,electrical; exposed-parts; energized-parts,Electrical Safety — Exposed Electrical Parts,439,direct
HL-ELEC-005,ELEC,overhead_lines,Overhead Power Lines,خطوط الكهرباء الهوائية,worker-scene,overhead-power-line,1910.333; 1926.416,construction; utilities; maintenance,electrical; overhead-lines; power-lines,Electrical Safety — Overhead Power Lines,439,direct
HL-ELEC-006,ELEC,wiring_protection,Inadequate Wiring,تمديدات كهربائية غير كافية,concept-diagram,electrical-circuit,1910.304; 1910.305; 1926.404; 1926.405,construction; maintenance; facilities,electrical; wiring; undersized-wire,Electrical Safety — Inadequate Wiring,439–440,direct
HL-ELEC-007,ELEC,wiring_protection,Damaged Cords and Wires,أسلاك وكابلات تالفة,worker-scene,electrical-cord-grounding,1910.305; 1910.334; 1926.405,construction; maintenance; manufacturing; warehouse,electrical; damaged-cord; extension-cord,Electrical Safety — Defective or Damaged Cords and Wires; Flexible Cords,440,direct
HL-ELEC-008,ELEC,grounding,Improper Grounding,التأريض غير الصحيح,concept-diagram,electrical-cord-grounding,1910.304; 1910.305; 1926.404,construction; maintenance; manufacturing; facilities,electrical; grounding; ground-fault,Electrical Safety — Improper Grounding; GFCIs,440–441,direct
HL-ELEC-009,ELEC,wiring_protection,Overloaded Circuits,دوائر كهربائية محمّلة فوق طاقتها,concept-diagram,electrical-circuit,1910.304; 1926.404,construction; manufacturing; facilities,electrical; overload; circuit-breaker,Electrical Safety — Overloaded Circuits,577,direct
HL-ELEC-010,ELEC,fire,Electrical Fire,حريق كهربائي,worker-scene,electrical-panel-worker,1910.303; 1910.304; 1910.305; 1926.404,manufacturing; construction; facilities; maintenance,electrical; electrical-fire; arcing,Electrical Safety — Electrical Fires; Controlling Electrical Hazards,438–439,direct
HL-FALL-001,FALL,same_level,Same-Level Slip,انزلاق على نفس المستوى,worker-scene,walking-surface-worker,1910.22,general-industry; warehouse; construction; healthcare,falls; slip; same-level,Walking-working surfaces / housekeeping,various,indirect
HL-FALL-002,FALL,same_level,Same-Level Trip,تعثر على نفس المستوى,worker-scene,walking-surface-worker,1910.22,general-industry; warehouse; construction; maintenance,falls; trip; housekeeping,Walking-working surfaces / housekeeping,various,indirect
HL-FALL-003,FALL,openings_edges,Floor / Wall Opening,فتحة أرضية / جدارية,worker-scene,floor-opening-worker,1910.28; 1910.29; 1926.501; 1926.502,construction; maintenance; manufacturing,falls; floor-opening; hole,Fall Protection and Prevention in Construction,77–79,direct
HL-FALL-004,FALL,openings_edges,Unprotected Edge,حافة غير محمية,worker-scene,roof-edge-worker,1910.28; 1910.29; 1926.501; 1926.502,construction; maintenance; manufacturing; facilities,falls; unprotected-edge; fall-from-height,Fall Protection and Prevention in Construction,77–79,direct
HL-FALL-005,FALL,ladders_stairs,Ladder Fall,السقوط من السلم,worker-scene,ladder-worker,1910.23; 1926.1053,construction; maintenance; warehouse; facilities,falls; ladder; ladder-fall,Construction Safety — Ladders,658–665,direct
HL-FALL-006,FALL,ladders_stairs,Stairway Fall,السقوط على الدرج,worker-scene,stairway-worker,1910.25; 1926.1052,construction; manufacturing; facilities; warehouse,falls; stairs; stairway,Construction Safety — Stairways / access systems,various,indirect
HL-FALL-007,FALL,scaffolds,Scaffold Fall,السقوط من السقالة,worker-scene,scaffold-worker,1910.27; 1926.451; 1926.454,construction; maintenance; industrial,falls; scaffold; scaffold-fall,Construction Safety — Scaffolds; Fall Hazards,581–584,direct
HL-FALL-008,FALL,elevated_platforms,Roof / Elevated-Surface Fall,السقوط من سطح أو مكان مرتفع,worker-scene,roof-edge-worker,1910.28; 1926.501,construction; maintenance; facilities,falls; roof; elevated-surface,Fall Protection and Prevention in Construction,77–79,direct
HL-FALL-009,FALL,elevated_platforms,Aerial-Lift / Platform Fall,السقوط من منصة رفع جوية,worker-scene,aerial-lift-worker,1910.67; 1926.453,construction; maintenance; utilities; warehouse,falls; aerial-lift; platform,Construction Safety — Aerial lifts / scaffolds,581,indirect
HL-FALL-010,FALL,fall_arrest,Rope-Descent-System Hazard,خطر نظام النزول بالحبال,worker-scene,rope-descent-worker,1910.27; 1910.140,facilities; maintenance; construction,falls; rope-descent; anchorage,Walking-working surfaces / fall protection,various,supplemented
HL-FALL-011,FALL,falling_objects,Falling Object / Dropped Object,جسم ساقط / جسم مُسقط,worker-scene,scaffold-worker,1910.28; 1910.29; 1926.451; 1926.501,construction; maintenance; warehouse; manufacturing,falls; falling-object; dropped-object,Construction Safety — Scaffolds; Falling Object Protection,581–582,direct
HL-FALL-012,FALL,fall_arrest,Swing Fall,السقوط المتأرجح,concept-diagram,fall-arrest-system,1910.140; 1926.502,construction; maintenance; facilities,falls; swing-fall; anchor,Fall Protection — personal fall-arrest concepts,77–79,supplemented
HL-FALL-013,FALL,fall_arrest,Insufficient Fall-Arrest Clearance,خلوص غير كافٍ لنظام إيقاف السقوط,concept-diagram,fall-arrest-clearance,1910.140; 1926.502,construction; maintenance; facilities,falls; clearance; fall-arrest,Fall Protection — personal fall-arrest systems,77–79,supplemented
HL-FALL-014,FALL,fall_arrest,Suspension Trauma,إصابة التعليق بعد السقوط,concept-diagram,fall-arrest-system,1910.140; 1926.502,construction; maintenance; facilities,falls; suspension; rescue,Fall Protection — personal fall-arrest systems,77–79,supplemented
HL-MACH-001,MACH,guarding,Missing / Inadequate Machine Guard,حاجز آلة مفقود أو غير كافٍ,equipment-scene,machine-guarding,1910.212,manufacturing; maintenance; construction; warehouse,machinery; guarding; machine-guard,Machine guarding / hand and power tool safety,597–601,direct
HL-MACH-002,MACH,guarding,Point-of-Operation Hazard,خطر نقطة التشغيل,equipment-scene,machine-guarding,1910.212,manufacturing; fabrication; maintenance,machinery; point-of-operation; amputation,Machine guarding / point-of-operation concepts,various,direct
HL-MACH-003,MACH,motion,In-Running Nip Point,نقطة انحشار داخلة,equipment-scene,machine-guarding,1910.212; 1910.219,manufacturing; warehouse; maintenance,machinery; nip-point; pinch-point,Machine guarding / moving parts,various,direct
HL-MACH-004,MACH,motion,Rotating Shaft / Entanglement,عمود دوار / تشابك,equipment-scene,machine-guarding,1910.212; 1910.219,manufacturing; maintenance; fabrication,machinery; rotating-shaft; entanglement,Machine guarding / power-transmission hazards,various,direct
HL-MACH-005,MACH,motion,Reciprocating-Motion Hazard,خطر الحركة الترددية,equipment-scene,machine-guarding,1910.212,manufacturing; maintenance; fabrication,machinery; reciprocating; crush,Machine guarding / dangerous motion,various,direct
HL-MACH-006,MACH,cutting,Shear / Cutting Point,نقطة قص / قطع,equipment-scene,machine-guarding,1910.212,manufacturing; fabrication; maintenance,machinery; shear; cutting-point,Machine guarding / point-of-operation hazards,various,direct
HL-MACH-007,MACH,guarding,Ejected Material / Flying Object,مواد مقذوفة / جسم طائر,equipment-scene,grinder-saw-workstation,1910.212; 1910.243,manufacturing; construction; fabrication; maintenance,machinery; flying-object; ejected-material,Hand and Power Tool Safety — flying objects,597–601,direct
HL-MACH-008,MACH,cutting,Abrasive-Grinder Wheel Hazard,خطر عجلة الجلخ الكاشطة,equipment-scene,grinder-saw-workstation,1910.215; 1910.243,manufacturing; construction; maintenance; fabrication,machinery; grinder; abrasive-wheel,Construction Safety — Grinding / abrasive tools,600,direct
HL-MACH-009,MACH,cutting,Circular-Saw Hazard,خطر المنشار الدائري,worker-scene,grinder-saw-workstation,1910.243,construction; maintenance; carpentry; manufacturing,machinery; circular-saw; kickback,Construction Safety — Portable Circular Saws,600–601,direct
HL-MACH-010,MACH,hand_tools,Hand-Tool Misuse / Failure,سوء استخدام / فشل الأدوات اليدوية,worker-scene,hand-tool-worker,1910.242,maintenance; construction; manufacturing; warehouse,machinery; hand-tool; tool-misuse,Construction Safety — Hand and Power Tool Safety,597–598,direct
HL-MACH-011,MACH,power_tools,Portable Power-Tool Hazard,خطر الأدوات المحمولة المزودة بالطاقة,worker-scene,hand-tool-worker,1910.242; 1910.243,construction; maintenance; manufacturing,machinery; power-tool; portable-tool,Construction Safety — Hand and Power Tool Safety,597–601,direct
HL-MACH-012,MACH,automation,Robotics / Automated-Movement Hazard,خطر الروبوتات / الحركة الآلية,equipment-scene,robot-cell,1910.212; 1910.147,manufacturing; automation; maintenance,machinery; robotics; automation,"ASP/CSP coverage — tools, machines and robotics",12,supplemented
HL-MACH-013,MACH,conveyors,Conveyor Nip / Entanglement,انحشار / تشابك في الناقل,equipment-scene,conveyor-system,1910.212; 1910.219; 1926.555,warehouse; manufacturing; distribution; construction,machinery; conveyor; nip-point,Materials Handling and Storage — Conveyors,713,direct
HL-MACH-014,MACH,conveyors,Conveyor Falling-Material Hazard,خطر سقوط المواد من الناقل,equipment-scene,conveyor-system,1910.212; 1926.555,warehouse; manufacturing; distribution; construction,machinery; conveyor; falling-material,Materials Handling and Storage — Conveyors,713,direct
HL-MAT-001,MAT,manual_handling,Manual Lifting / Overexertion,الرفع اليدوي / الإجهاد الزائد,worker-scene,material-handling-worker,1910.176,warehouse; construction; healthcare; manufacturing; maintenance,materials; lifting; manual-handling,Materials Handling — individual lifting procedures / guidelines,689–694,direct
HL-MAT-002,MAT,manual_handling,Pushing / Pulling,الدفع / السحب,worker-scene,material-handling-worker,1910.176,warehouse; healthcare; manufacturing; construction,materials; push; pull,Materials Handling — hand trucks / pallet jacks / manual movement,696–703,direct
